,,,,,
Feature,Details,Priority,Supported,Notes,References
Inheritance and Polymorphism,"MongoDB’s flexible schema allows polymorphic documents in a single collection, which is common in real-world use cases. Supports defining base models and extending them into specialized sub models enabling cleaner, reusable code aligned with OOP principles.",High,Unsupported,,
Performance Standards - Implement Benchmark,This includes making sure that an ODM performs to the best of its abilities and offers capabilities such as query caching if necessary.,High,Unknown,Includes built-in connection pooling and integration with Prisma Accelerate for global scaling and caching.,Connection pool
Representing Relationship,"Users should be able to easily represent their data aligning with MongoDB's principle of Data Modelling.

One to One
One to Many
Many to One
Many to Many
",High,Partial,"Supports One-to-One, One-to-Many, and Many-to-Many relations using @relation and reference IDs, but it is not created during the Introspection process.",Prisma ORM MongoDB database connector
Change Streams,"Change Streams allow applications to react to real-time changes in the database without the need for polling. The ODM should expose a simple, idiomatic API to watch for inserts, updates, deletes, and other changes on a single collection, an entire database, or the full deployment. This is essential for building reactive systems, real-time notifications, cross-service synchronization, and event-driven architectures.",Medium,Unsupported,The workaround is to instantiate a second client connection using the Node.js driver directly.,Features that prisma mongodb does not support yet because of driver limitation #12746
Vector Search,Vector Search is another MongoDB Differentiating feature that we should support in our ODM's. This will allow our customers to easily build AI applications on top of MongoDB.,Medium,Unsupported,No native type-safe API for Vector Search ($vectorSearch). Must use the raw query escape hatch.,Raw queries
MongoDB Security Features (CSFLE/QE),"Our ODM's should natively support MongoDB's key security features such as CSFLE and Queryable Encryption (QE) enabling developers to protect sensitive data. This ensures applications can meet compliance requirements, enforce strong data privacy, and fully leverage MongoDB’s enterprise grade security capabilities.",Medium,Unsupported,Prisma Client does not natively expose configuration for Client-Side Field Level Encryption (CSFLE) or Queryable Encryption (QE).,
Geospatial Feature,"Geospatial Querying is a common use case in many applications especially logistics, travel, and other geo-aware applications . Our ODM's should provide first-class support for geospatial fields, queries, and indexing.",Medium,Unsupported,Complex workaround storing GeoJSON data using the Json field type and run geospatial queries using aggregateRaw.,Geolocation/Spatial types support · Issue #1798 · prisma/prisma
Atlas Search,Full Text Search in general as well as MongoDB's own Atlas Search (4.4k orgs and $163 Million in ARR) is a very common and growing use case so we should have native support for this feature in our ODMs.,Medium,Unsupported,No native type-safe API for Atlas Search ($search). Must use the raw query escape hatch.,Raw queries
Timeseries,"MongoDB natively supports time series collections optimized for handling time stamped data such as metrics, logs, and IoT data. The ODM should allow developers to define time series collections with relevant metadata and time fields easily.",Medium,Unsupported,Complex workaround storing Time Series data using the Json field type and run geospatial queries using aggregateRaw.,Support for MongoDB time series collections · Issue #13669 · prisma/prisma
GridFS,GridFS is not as widely used as features like Atlas Search or Vector Search but it is a critical feature for applications that need to store and retrieve large files exceeding MongoDB’s document size limit.,Low,Unsupported,,
